ZCTA,IP_COV_DEMAND,e2sfca_90min_inpatient_beds_7_day_avg_interp,3sfca_90min_inpatient_beds_7_day_avg_interp
77538,0,0.08171274467953193,0.01761739630076436
77539,43,0.6112228928141314,0.6806329611981792
77541,54,0.04756206198769822,0.0584855305242913
77545,48,0.5813021636081727,0.5535664167700225
77546,28,0.5459043499890038,0.5538989771408998
77547,54,0.841006227951924,0.5475165178466089
77550,116,1.1395293793029,1.918648217745573
77551,130,1.0732264071029758,1.7571323759563275
77554,99,0.5880430117122996,0.6444341735206932
77560,66,0.04579448322331787,0.03843532596745679
77562,61,0.3211980661286321,0.3027233564628191
77563,55,0.6346468749025025,0.42825387372165313
77564,49,0.003912667928267711,0.0
77565,41,0.5477317229649765,0.6767260584426223
77566,63,0.06337830580883294,0.08249336801508647
77568,47,0.6684912238078423,0.4514333562201102
77571,35,0.44198084765932155,0.45510941730119436
77573,28,0.632093987230914,0.953907031136276
77575,71,0.04221047881993342,0.017671782017954992
77577,4,0.05740036389977124,0.0584893111066212
77578,54,0.7037613488643261,0.620155666655037
77581,47,0.6113677539901795,0.4450963052608146
77583,73,0.4318266544261068,0.5049348012742334
77584,43,0.8118168247668722,0.9396113166299126
77585,0,0.020580355481101643,0.03278748542683185
77586,48,0.4670317348128382,0.7587308691733837
77587,51,0.8676636030759325,0.7088506818421161
77590,34,0.5953647399895923,0.45433646491577706
77591,28,0.6586332015038786,0.6792864424620051
77597,0,0.055533951262520885,0.0402957947114404
77598,42,0.6001709683258356,0.7859036505406585
77611,32,0.2062606034660193,0.03825206633130383
77612,42,0.09321399917789863,0.016907087311560817
77613,32,0.5699077107847615,0.7514799471561548
77616,42,0.013447619898306694,0.0209383576334628
77619,32,0.4258482316800595,0.4030489981171237
77622,60,0.32966517795270794,0.3955597620995539
77625,33,0.13207537855303553,0.015325152170888019
77627,35,0.5958822518909803,0.7603407438379512
77630,34,0.2647352441010994,0.3343658337916194
77632,30,0.21585757845625916,0.03825206633130383
77640,30,0.4902714934289683,0.4030489981171237
77642,32,0.4380597541166592,0.4030489981171237
77650,192,0.24216768367608824,0.11585571619800765
77651,40,0.5166842852102741,0.7427488120866411
77656,38,0.16044071156338865,0.015325152170888019
77657,51,0.5469083114861486,0.4314637423109818
77659,38,0.23621043216898707,0.015325152170888019
77660,27,0.018612812943830402,0.007897120662564995
77662,33,0.6232474178360904,0.694979145381263
77664,69,0.05976236832035363,0.01443030573913342
77665,42,0.30933122356641796,0.3872984443431236
77701,41,0.8561823191183173,0.9671378103955178
77702,40,0.8599403525802621,0.9102166325698637
77703,45,0.8148104737280223,0.9102166325698637
77705,38,0.5292486646607797,0.7427488120866411
77706,38,0.7623583257834141,0.7485576434720119
77707,36,0.829409925761035,0.9671378103955178
77708,38,0.7203415562301779,0.5986590914126397
77713,40,0.425845140289252,0.33709870632452144
77801,11,2.7397629476323795,3.5439024203281133
77802,14,2.904847820281008,4.096949248638763
77803,18,2.463993868171032,3.643663748514293
77807,5,2.1664275937613624,3.643663748514293
77808,16,2.167200786775582,3.643663748514293
77830,50,0.636928915073425,0.022215315951082143
77831,29,0.06698604805636246,0.03725651152163134
77833,21,0.05387512895176854,0.018969892506639337
77835,62,0.03405691236778717,0.004526889338890186
77836,23,0.6116531666177274,0.10207608825001166
77837,27,0.27999897883197394,0.23034622080088185
77840,20,3.0480132997486806,4.332510781107885
77845,26,3.2777633796571606,4.332510781107885
77853,0,0.10231929443695435,0.10207608825001166
77856,32,0.13642428273072688,0.23034622080088185
77857,0,0.2257087371839247,0.17147870345207045
77859,13,0.5704113569494809,0.15356414720058792
77861,41,0.5392019455654873,0.09668951799661465
77864,15,0.16235002521119887,0.017968848477246974
77865,42,0.005535983491989883,0.002645216549356704
77868,18,1.618017356099342,0.7685806843220376
77871,21,0.0465046850771172,0.15356414720058792
77872,21,0.43522990204346124,0.023285319701019585
77873,0,0.058273948604561886,0.12086189749576831
77879,20,0.8615917094905472,0.11517311040044093
77880,24,0.1810482079313863,0.038467360928974306
77901,58,1.3128046143418417,1.412409153592152
77904,59,1.2241747933237974,1.337122651821716
77905,59,1.0533694607384299,1.0449011679173676
77951,54,0.7670311560035874,0.5012110619710199
77954,35,0.5907608383799092,0.5692551265061435
77957,48,0.41746134100260524,0.3975263795195311
77962,51,0.1835028394892285,0.10522468739110495
77963,64,0.3609114580695884,0.0565669947080689
77964,38,0.23876916507550253,0.3396641982664696
77968,57,0.8765233687134473,1.156260418562138
77975,39,0.10461108904443743,0.0273044819642331
77979,35,0.4315760670796084,0.42116878856158163
77982,0,0.017196712561739755,0.02179396617844421
77983,43,0.038942082197827556,0.0760516264255738
77984,40,0.28013243185893744,0.23910682379722392
77990,0,0.12153070348308344,0.05678021243858167
77995,37,0.30780739650166633,0.3519968230985985
78002,104,0.22488159128313237,0.12382454428591341
78003,62,0.10547128741356902,0.05369847455149164
78006,109,0.2420880620805742,0.03398729542607671
78009,112,0.30992366455238984,0.03926191560451229
78010,2,0.39797066999200287,0.6775130081157088
78011,46,0.08408996032707461,0.15077745568986387
78013,97,0.3851420967757805,0.2364348052541233
78014,40,0.020725354133501024,0.01242721981473184
78015,180,0.5093648908564857,0.43747379065736147
78016,62,0.12836685745138743,0.07021467751204442
78017,88,0.07089568252652124,0.11154909214652152
78019,0,0.09652884495905399,0.0490801334657459
78022,14,0.2609798232439211,0.0809464068198232
78023,111,0.6486961445785179,0.8431592696370972
78024,42,0.11915452455846222,0.06036856245944737
78025,7,0.44716666992838894,0.9560106096540064
78026,69,0.14002452159953138,0.3761986356335121
78028,46,0.6397463918560852,1.2724625076595344
78039,124,0.3141437098228946,0.03577071609356638
78040,86,1.0243488555106972,1.07683915977664
78041,89,1.086017802317742,1.1241687712868464
78043,87,0.9036749303372986,0.8226765228544073
78045,82,0.9501370392851077,0.9166958102923264
78046,88,0.7621494764564418,0.7908965645724481
78052,77,0.22225203439832672,0.12382454428591341
78055,0,0.1553422916450321,0.06036856245944737
78056,75,0.19182136172177033,0.04712328717430466
78057,110,0.13929710617774507,0.13140787144542942
78058,0,0.0830528403433245,0.039849522096465514
78059,75,0.1430803889363866,0.03754570719855104
78061,46,0.12361042336243187,0.253476327786831
78063,179,0.029992301701531447,0.05788345024265159
78064,35,0.1612058719031231,0.3447748797832509
78065,41,0.13942094977293074,0.07758920794571263
78069,135,0.18249542997808582,0.11268038908768883
78070,40,0.19170522709868132,0.18482445511442713
78071,42,0.051068063010165324,0.0361223205747797
78073,93,0.28875825787920456,0.23107964211371293
78076,101,0.006385402058753076,0.0
78101,31,0.1551697716946011,0.06775763819659242
78102,22,0.7340351881406769,1.9315622695139516
78108,36,0.49411180737747473,0.4883364130870092
78109,34,0.6504979703146356,0.6773013805241799
78112,72,0.3118054574557762,0.22956492241004647
78113,35,0.022458586124986805,0.04287111482825117
78114,45,0.1604552294676704,0.1523800121856022
78118,60,0.08489291509913321,0.026910315570276684
78119,63,0.17960632241669436,0.003931036835832311
78121,31,0.08275126498971863,0.06084568084974258
78123,21,0.4090900431962169,1.1224053385647657
78124,42,0.37411518126368704,0.666990296931688
78130,18,0.6960646335394342,1.6689384787101518
78132,22,0.3922797609981512,1.1446972791617391
78133,11,0.03975293940476432,0.07629047466232455
78140,26,0.09378133381401152,0.043956066600453994
78147,115,0.06942854126502156,0.09793133375978573
78148,62,0.6514330508192694,0.713596802172995
78151,122,0.03735381334483725,0.011985301192104326
78152,11,0.23042320448863074,0.06241013390562706
78154,15,0.5335523619965683,0.4078451701924656
78155,24,0.5072576568556956,1.6916350186091755
78159,17,0.0928726094639003,0.03752639606648984
78160,51,0.05696636381634462,0.08335186062418456
78163,42,0.2809534068793317,0.1383684413969804
78164,46,0.12630293254398628,0.2633502380670694
78201,103,1.069610086500615,1.2318771947899712
78202,121,0.8993663422254771,1.0271351925444125
78203,110,0.8902341518715622,0.9327973943063801
78204,116,0.9237569152967532,1.034633670298601
78205,147,0.9736316390908901,0.9395194378521293
78207,127,0.9408926082428118,0.9395194378521293
78208,49,0.9470203096007027,1.0394018478774907
78209,66,0.8698390104827668,0.9893289003355911
78210,107,0.8267458701173981,0.6800149780423342
78211,100,0.7265841516254377,0.5896711900438502
78212,62,1.0140209449506101,0.9173719069203589
78213,80,1.0396394282426418,1.1179265663025781
78214,98,0.770866017070051,0.7087661565218071
78215,62,0.985213527755804,0.909726686089363
78216,81,0.9666017346261737,0.8644888230995761
78217,37,0.8300492880611076,0.9488034801965537
78218,35,0.8847372746269595,0.8661254732615001
78219,70,0.7485892115356153,0.5701315373356715
78220,128,0.7495470832200416,0.5665897418626853
78221,88,0.6136319705176071,0.6433283791717265
78222,89,0.5519591202988836,0.48327777065272026
78223,67,0.7322627092546665,0.5450211559295833
78224,93,0.6801660342588617,0.5896711900438502
78225,139,0.8559760155087419,0.9528799507181355
78226,145,0.8541289278588089,0.9635160248595159
78227,83,0.8071270772591276,0.8758579034553152
78228,113,1.018791529435552,0.9428246207384463
78229,143,1.0970789536787946,1.1674406245685855
78230,105,1.031936562624224,1.1439970105615926
78231,71,0.9339006392375976,0.8113993611297037
78232,78,0.7777986972610731,0.9848659398026275
78233,29,0.7492434695987081,0.6945428247793985
78235,0,0.6526461427885142,0.6490215844505155
78237,117,0.8864255854153891,0.8610676608746942
78238,126,1.006408309295667,1.2583584361745666
78239,23,0.7273297629634322,0.5744182875762708
78240,91,1.0304775184297517,1.1755098882176411
78242,79,0.6968683636322773,0.5620677064506421
78244,52,0.603788249248306,0.743018913544036
78245,84,0.6655717214654621,0.6140807239735006
78247,48,0.6341734808882697,0.47875291520490937
78248,71,0.8015361715673761,0.8489837191897558
78249,111,0.9030596568043159,0.8079324600267448
78250,74,0.7546656770300263,0.8199023908428181
78251,84,0.7779266039374086,0.8303627106836862
78252,70,0.6048447844499407,0.4144460459731366
78253,61,0.4367240227860707,0.4788459743134623
78254,104,0.5944217482415507,0.4210323600244876
78255,152,0.47712376831093145,0.4419026404610831
78256,120,0.7630139157732709,0.82054364158115
78257,133,0.8185477492974925,0.8163907410858271
78258,55,0.65277488027837,0.47123288504574856
78259,37,0.5819894457107684,0.5371575460449455
78260,93,0.39012138542908703,0.22193674582996897
78261,107,0.3410054885500179,0.3333217240745734
78263,146,0.28158233937074584,0.28365137162753445
78264,68,0.23360897106133124,0.13218614815103313
78266,30,0.3335198762077905,0.17131606068820418
78332,12,2.117875661033428,2.945171349111873
78336,9,1.28777232599617,0.6714145664631779
78339,0,1.988944218561267,0.9610846066578446
78341,5,0.2783604007283991,0.13625795615683822
78343,8,1.5637166093282122,1.7706515029700332
78351,0,1.7746317019772835,1.565150883974751
78355,14,0.19659038996055367,0.13625795615683822
78357,10,0.1710712806469218,0.15482728480386604
78358,0,0.38195622487174435,0.209967402455573
78359,0,2.5118189074276533,2.233245169144694
78361,32,0.0006850724895306694,0.0
78362,0,1.4970127194506424,2.4229656918449343
78363,13,1.956172190668953,2.5893414325456034
78368,9,0.5216597104014741,0.18045147171362694
78370,6,1.2912546372638278,0.5993647057166523
78372,8,0.7020347013497329,1.0260802600967758
78373,0,0.4071392969240054,0.209967402455573
78374,0,3.0295004908432808,3.8558027957597716
78375,9,0.5014284869133573,0.13625795615683822
78377,74,0.12830139736728985,0.13852987265899347
78379,11,0.549576610908117,0.11768862750981042
78380,11,2.4391903914485753,2.1174754378327427
78382,2,0.39400482675501775,0.209967402455573
78383,5,0.39908481181536154,0.18045147171362694
78384,18,1.1377577896425055,1.2622485453356054
78387,7,0.8195992435741523,0.18045147171362694
78389,7,0.6141161613494839,1.2314780879645617
78390,0,1.6761287164678846,2.342251241013699
78393,84,0.06142696866395656,0.08193726460254878
78401,0,4.173266715196968,5.097056629711921
78404,1,4.285826973934258,5.097056629711921
78405,1,4.122199318672391,5.040134077699811
78406,2,2.96623232724554,3.856287219023618
78407,0,3.6772380562845144,3.3773860547060233
78408,0,3.782877584977844,3.3773860547060233
78409,2,3.002292304533903,3.856287219023618
78410,10,2.3642255386695132,1.7486419376675753
78411,1,4.219101541829156,4.758999917509948
78412,3,3.8722755536371385,5.008176031649583
78413,5,3.671697925677441,3.1419338234793446
78414,3,3.426210424536043,3.2240668009858804
78415,1,4.010700214748524,4.7094233472708815
78416,0,3.9445776615314463,5.040134077699811
78417,3,3.70736258816019,3.4214575912233696
78418,2,2.5558165834220503,3.969787873696025
78501,116,0.8682508387924699,0.908620627596337
78503,93,0.8282576026800186,0.7870922472726822
78504,125,0.8160418315509471,0.999581429683107
78516,91,0.8079871315082875,0.700562054303826
78520,116,0.8957518286197109,1.1367750371671455
78521,121,0.8292238435659465,1.0351030068784506
78526,114,0.9004921041100454,0.9614938798310791
78537,100,0.7132248250231871,0.6843968605192529
78538,103,0.29968039891666526,0.2719529213841806
78539,158,0.8106700655161718,0.9493523159680312
78541,132,0.6304263425114335,0.6730039427817136
78542,144,0.6471143779378723,0.6948768536366423
78543,112,0.4478096737745624,0.48878962212048926
78545,0,0.07156829885516369,0.15737371079247225
78548,96,0.16159468554192355,0.11748129089068185
78549,149,0.18882382840615705,0.04294678949948616
78550,36,0.5717633707866536,0.6562776818830237
78552,42,0.6309738374929093,0.4792873567149431
78557,97,0.5658129169255668,0.5255826181048507
78558,148,0.5282134884710616,0.49129360393497756
78559,34,0.5727191487655758,0.5248148554777757
78560,119,0.4370369111323164,0.3763522836929303
78562,72,0.358905836790037,0.25471348252265735
78566,74,0.6835194257675764,0.6384604756850071
78569,20,0.17398854561250862,0.2536466200632306
78570,71,0.3665275266392441,0.3673368023745343
78572,119,0.6554147987266171,0.5873355197894633
78573,116,0.6563242615283913,0.7513994788859051
78574,115,0.5667293805403187,0.4268020557548661
78575,99,0.8252385162963755,0.8763172597330255
78576,114,0.27506577556530465,0.24467470895459245
78577,119,0.8388506964600038,0.752721431746583
